model,type,cv_roc_auc_mean,cv_roc_auc_std,accuracy,precision,recall,f1,roc_auc
Logistic Regression,ML,0.982635,0.019201,0.961039,0.952381,0.909091,0.930233,0.991736
Random Forest,ML,0.990909,0.008084,0.961039,1.0,0.863636,0.926829,0.995041
SVM,ML,0.982903,0.020969,0.961039,0.952381,0.909091,0.930233,0.984298
KNN,ML,0.953877,0.03439,0.948052,0.95,0.863636,0.904762,0.985124
Gradient Boosting,ML,0.984789,0.012359,0.961039,1.0,0.863636,0.926829,0.985124
XGBoost,ML,0.983422,0.017607,0.961039,0.913043,0.954545,0.933333,0.991736
LightGBM,ML,0.982635,0.011827,0.948052,0.875,0.954545,0.913043,0.993388
Neural Network (Keras ANN),DL,,,0.974026,1.0,0.909091,0.952381,0.995868
